game_id,player_id,team_id,best_of,curr_game,champion_id,side,role,opp_player_id,opp_team_id,opp_champion_id,result,kills,deaths,assists,double_kills,triple_kills,quad_kills,penta_kills,first_blood,avg_mins_between_kills,avg_mins_between_deaths,solo_kills,iso_deaths,minion_kills,neutral_minion_kills,neutral_minion_kills_team_jungle,neutral_minion_kills_enemy_jungle,perc_in_mid_lane,num_recalls,total_damage_teamfights,avg_damage_per_teamfight,dmg_to_champs_per_min,dmg_shielded_on_team_per_min,dmg_healed_on_team_per_min,total_gold,gold_at_15m,gold_diff_at_15m,wards_placed,wards_killed,vision_score,jungle_prox,duo_prox
ac2618cd-a2e9-4366-bb71-4c97ded3141e,69e50d16-9d6d-4566-91f1-97acbb1d5ef6,cbe4505b-126e-4123-abfa-23f3d5758e15,1,1,196c0589-33a3-44c7-9fc0-4cd3c4ba555e,blue,jng,27117a33-be10-4d89-a2dd-c622b38d91b7,0c2e1d71-432b-40ea-b378-924e2e804b0e,f16f0952-73a8-49ae-b636-c52502a81f57,0,0,2,3,0,0,0,0,0,NULL,15.2261,0,0,32,134.0000305,96.00003052,0,0.03775223774,8,937.6374512,117.2046814,205.9927222,0,0,8513,4929,-226,5,6,21.44284821,0.5133541667,NULL
ac2618cd-a2e9-4366-bb71-4c97ded3141e,32a441dd-5706-4c5c-a13b-e7eae2c6fb0f,cbe4505b-126e-4123-abfa-23f3d5758e15,1,1,e7c0028d-798c-4151-9a46-dfabcbc70409,blue,mid,39d47ed1-365d-4b94-b3e7-b58ec1ebf2df,0c2e1d71-432b-40ea-b378-924e2e804b0e,7aba2090-0ed1-4957-bbb3-10e1edf25ed8,0,1,3,1,0,0,0,0,0,NULL,8.425391667,0,1,229,8,8,0,0.4600087054,4,2694.421021,336.8026276,239.3624137,4.992190801,0,9184,5474,-1034,11,2,21.82435226,0.2062125,NULL
ac2618cd-a2e9-4366-bb71-4c97ded3141e,60d42849-beb1-4f64-83f0-6113bd4497df,cbe4505b-126e-4123-abfa-23f3d5758e15,1,1,1e3423b1-6441-4499-bc04-79cd4bb3d13d,blue,bot,286f29de-664a-4885-a1b2-a6237bc01820,0c2e1d71-432b-40ea-b378-924e2e804b0e,cffa3533-e1c5-4d05-b72b-f05a2c9202c3,0,1,4,0,0,0,0,0,0,NULL,7.453433333,0,2,236,7.200000286,7.200000286,0,0.08133916835,8,584.1779785,73.02224731,283.9462811,0,24.06234572,9870,5178,-653,17,9,39.05854034,0.1621027778,NULL
ac2618cd-a2e9-4366-bb71-4c97ded3141e,1eee2a7b-7843-46ef-8222-5bb9bbd40379,cbe4505b-126e-4123-abfa-23f3d5758e15,1,1,324946d4-5e01-47c2-ae84-bffe1bb4f2cf,blue,sup,fcac7a13-6a78-4d74-8767-b520844b3aff,0c2e1d71-432b-40ea-b378-924e2e804b0e,b8032ceb-6da4-4575-8ab1-c4be5ab8b0f6,0,1,4,1,0,0,0,0,0,NULL,4.053361111,0,2,34,0,0,0,0.02984178234,6,412.6344604,51.57930756,98.42772868,8.40607572,7.51492795,6133,3089,-457,36,12,75.15625763,0.2047680556,0.4650444444
ac2618cd-a2e9-4366-bb71-4c97ded3141e,6be8f7d2-b5d1-4015-8d63-decee3bd407d,0c2e1d71-432b-40ea-b378-924e2e804b0e,1,1,f2e2e2e6-5b79-47ae-bf8a-ea7780d0ce48,red,top,e6ca24a9-3a00-4847-babf-fdb83a0c04df,cbe4505b-126e-4123-abfa-23f3d5758e15,ff81d81f-5f1a-4c43-8769-2043f237312f,1,4,0,7,0,0,0,0,1,7.422611111,NULL,1,0,228,19.59999847,5.5,9.099999428,0.01846181187,8,4391.211426,548.9014282,741.6589989,0,0,12332,5542,758,11,4,31.09701157,0.1209013889,NULL
ac2618cd-a2e9-4366-bb71-4c97ded3141e,27117a33-be10-4d89-a2dd-c622b38d91b7,0c2e1d71-432b-40ea-b378-924e2e804b0e,1,1,f16f0952-73a8-49ae-b636-c52502a81f57,red,jng,69e50d16-9d6d-4566-91f1-97acbb1d5ef6,cbe4505b-126e-4123-abfa-23f3d5758e15,196c0589-33a3-44c7-9fc0-4cd3c4ba555e,1,3,1,7,0,0,0,0,0,8.677108333,NULL,1,1,17,132.0000305,83.00002289,8,0.02927442551,9,399.6682129,49.95852661,209.5491936,0,0,9735,5155,226,6,12,42.75834656,0.4777777778,NULL
ac2618cd-a2e9-4366-bb71-4c97ded3141e,39d47ed1-365d-4b94-b3e7-b58ec1ebf2df,0c2e1d71-432b-40ea-b378-924e2e804b0e,1,1,7aba2090-0ed1-4957-bbb3-10e1edf25ed8,red,mid,32a441dd-5706-4c5c-a13b-e7eae2c6fb0f,cbe4505b-126e-4123-abfa-23f3d5758e15,e7c0028d-798c-4151-9a46-dfabcbc70409,1,5,2,4,1,1,0,0,0,3.0541,11.77453333,0,0,246,32,9.5,20,0.5133595025,7,4393.517578,549.1896973,684.530528,0,0,14247,6508,1034,13,3,26.68549728,0.2147458333,NULL
ac2618cd-a2e9-4366-bb71-4c97ded3141e,286f29de-664a-4885-a1b2-a6237bc01820,0c2e1d71-432b-40ea-b378-924e2e804b0e,1,1,cffa3533-e1c5-4d05-b72b-f05a2c9202c3,red,bot,60d42849-beb1-4f64-83f0-6113bd4497df,cbe4505b-126e-4123-abfa-23f3d5758e15,1e3423b1-6441-4499-bc04-79cd4bb3d13d,1,4,0,7,0,0,0,0,0,3.419716667,NULL,0,0,281,25.19999695,19.99999809,1.200000048,0.09352199249,8,3348.2771,418.5346375,667.3193639,0,0,13734,5831,653,11,9,32.29730225,0.1151402778,NULL
ac2618cd-a2e9-4366-bb71-4c97ded3141e,fcac7a13-6a78-4d74-8767-b520844b3aff,0c2e1d71-432b-40ea-b378-924e2e804b0e,1,1,b8032ceb-6da4-4575-8ab1-c4be5ab8b0f6,red,sup,1eee2a7b-7843-46ef-8222-5bb9bbd40379,cbe4505b-126e-4123-abfa-23f3d5758e15,324946d4-5e01-47c2-ae84-bffe1bb4f2cf,1,1,0,10,0,0,0,0,0,NULL,NULL,0,0,28,0,0,0,0.03498305498,9,0,0,76.87826194,43.19256725,17.0245124,7001,3546,457,46,5,69.29506683,0.2317319444,0.7309861111
5b1c000c-5a7d-4806-ba7a-405cd9bfbc35,e9e4cc7b-9073-400a-9705-7a388fbe2f7e,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,16e6e998-67ca-45ee-b7b0-f3d43967fff6,blue,top,27c7c3e0-87ef-4396-b50c-79d58bc66999,2acce636-6eac-435a-86f6-87ef3fad9761,b5b950f8-f8b8-4885-821d-fbd21926508b,1,0,3,11,0,0,0,0,0,NULL,13.86779167,0,1,23,4,0,0,0.1459045959,11,1228.084351,68.22690837,49.90788193,222.6581228,0,8442,3157,-4570,22,6,46.45444107,0.4024777778,NULL
